,Years,,RPM - Atlantic,RPM - Latin America,RPM - Pacific,RPM - Domestic,RPM - International
20,2015,,0.2147301876919714,0.08760287507226348,0.12679525764022267,0.5708716795955424,0.4291283204044576
21,2016,,0.20733261656951582,0.08932230990523239,0.11882513984980668,0.5845199336754451,0.4154800663245549
22,2017,,0.21149504587219892,0.09392684103159402,0.10534634368983936,0.5892317694063677,0.4107682305936323
23,2018,,0.21074327567359183,0.09014034487422484,0.09917607215838892,0.5999403072937944,0.40005969270620556
24,2019,,0.2081998024447257,0.08362950945169254,0.09674805247300652,0.6114226356305753,0.38857736436942475
25,2020,,0.12420968213852628,0.10054304218485172,0.06141565969741647,0.7138316159792055,0.2861683840207945
